text,label
"Knowing ki Vikas kitna samjhata hai Priyanka aur Itch Guard Luv ko, usne bola tha Ben wali baat me ab Sallu ne bhi agree kiya!",0
I am Muhajir .. Aur mere lye sab se Pehly Pakistan he .. agr 10 lakh Altaf Jese leaders bh is zameen ki behurmati kren un sbko sar e aam phansi Deni chahye .. Proud to be a #Muhajir and #Pakistani,0
"Doctor  sab sahi me ke PhD (in hate politics) wale. Bhai padhe likhe ho fir kyu ye sab baate karte ho. Tum bas bowling  khelo, aur maje lo. pic.twitter.com/fk1qUbQstw",1
"Poore Desh me Patel OBC me aate Hain sirf gujrat Ko chor kar may be, ye manuwadiyon bramanwadi kabhi aapko aarackchan nahi denge ye to jis OBC Ko Mila hai usse bhi nafrat karte hain ye khoon aur chamdi ka frak karne waale bharmhanwadi kisi ke sage nahi hain",1
"Sarkar banne ke bad Hindu hit me ek bhi faisla Jo bjp ke dwara liya gaya ho,bjp ko  gay,gobar,mandir,masjid aur nafrat faila kar vot chahiye",1
Hate it jab test ata ho phr bh acha na ho -.-,0
Ek dil ek jaan akal ke imitihaan kal KP ke rape aur sawing between two legs after rape honge justified due to cinematic liberty aaj toh Rajput ki ho gayi shaan urdu ki gulaam,1
Aise logo se sakht nafrat karta hu Jo caste ko naam ke sath jod ke chaude hote h but real me vo piddu hote h,1
"Sir, jyada sentimental mat ho jao peene ke baad.Jiss desh ki buniyad sirf Hindu hatred pe hui ho woh kabhi nahi sudrega. Aap POK de do yaa phir Kabootar udao, jawab sirf goliyon se milega....",1
I am very sorry to say saaf dil shilpa ke fans hiten ke dil mein kya hai woh bhi samjhte hain hadh hoti hai nafrat ki bhi,1
"Madam,Bahut sochsamajhkr Mai ESS tarq pe purey42mahino mei pahucha hoon k Asli wajah ""MUSLIM Hatred""hai Jo kabi,Partition,RamTemple,GauMata,BharatMaataKiJai, VandeMatram, Raastragan, Pak Premi,Gaddaar,Bachche jyada ,5Bibiya25Bachche k safar tai karte Huey TAJMAHAL p jake atka hai",1
I hate sapna yaar Coz khud ko toh chalana aati nae aur hum agar tez chalaenge toh tokna shru  dheere se chalao .....  https://twitter.com/znb_abbasi/status/929388980965203968 …,0
"Ha rem  """" emoji I hate this emoji! Mujhe nagini ki hi yaad aati Hai",1
